,City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Population
0,Buenos Aires,Argentina,2024-01-01,26.7778485382896,42.12641553367836,23.330910840732383,8.348898804807337,0.8695330492814852,15.392473019880883,23.04260024955904,69,15500000
1,Buenos Aires,Argentina,2024-01-02,23.406645753041964,27.64096769542001,24.24712438840651,11.099624191571852,0.8001365637914966,23.910650007657296,21.045503091662237,46,15500000
2,Buenos Aires,Argentina,2024-01-03,16.93253619790511,14.609775767335949,34.47760377929138,7.375077568827924,1.0008753269526265,16.49731585995231,28.800591881281804,59,15500000
3,Buenos Aires,Argentina,2024-01-04,35.54412112219411,25.2129428699826,27.726759216569626,9.389525723753875,0.9789294375147746,13.13570274259468,26.757399501761007,45,15500000
4,Buenos Aires,Argentina,2024-01-05,15.057232883110457,34.37553883078311,24.824438630003083,4.9668782419753015,0.5511649774644336,28.3215619386227,25.05321121616325,55,15500000
5,Buenos Aires,Argentina,2024-01-06,22.75769793395252,46.97203196247966,33.568247642017006,5.744034827034724,1.0102367560299814,17.249311442609653,27.04424509499371,58,15500000
6,Buenos Aires,Argentina,2024-01-07,23.762673199002435,46.86708414888677,26.024543799056172,6.634862051240917,0.6020084414895972,19.82496194996882,20.944995681855776,58,15500000
7,Buenos Aires,Argentina,2024-01-08,13.859535498380067,34.339868845782846,35.7382686492702,5.870036177935848,0.8846424748914036,21.657426310108796,25.7088292948054,68,15500000
8,Buenos Aires,Argentina,2024-01-09,21.05672700764825,37.7221995741026,20.88246635962234,8.43654881394892,0.6396589914702056,14.700249605076417,24.928227667179257,60,15500000
9,Buenos Aires,Argentina,2024-01-10,23.69877370310113,23.588270609979887,36.04720973277082,8.89472479891993,0.6591349619582938,16.1991347244239,25.88958403504936,43,15500000
10,Buenos Aires,Argentina,2024-01-11,39.74046600146101,59.97382048731549,36.35396472800774,6.1482768271968045,0.90782882359003,24.891849688848858,18.884015491394283,76,15500000
11,Buenos Aires,Argentina,2024-01-12,41.94511761698497,77.27784875018338,32.11820248782384,9.55078147599803,0.7696571132845542,22.66679622352725,29.197342522592024,74,15500000
12,Buenos Aires,Argentina,2024-01-13,29.73050928233213,54.059909377313154,22.17342233926445,9.813561711576078,0.872283104754396,23.04114447653656,23.8952886924762,53,15500000
13,Buenos Aires,Argentina,2024-01-14,15.718573617209495,32.28875420929211,28.33328676747556,8.819242262838012,0.7246179351180303,23.795451976941983,19.809557480918567,52,15500000
14,Buenos Aires,Argentina,2024-01-15,34.965246338965805,29.0550306426831,21.819317197823267,6.394077246251398,0.8047790193972599,18.67914495042333,24.695410836146085,53,15500000
15,Buenos Aires,Argentina,2024-01-16,27.21477697675916,44.2151387542271,12.93923499076131,9.025274819288144,0.768369231125536,36.215464847973664,36.53958125308056,77,15500000
16,Buenos Aires,Argentina,2024-01-17,23.48974046152947,30.414244043724537,9.046058184664862,4.205862159379073,0.8177828651626158,25.45945657077055,12.863983711608675,61,15500000
17,Buenos Aires,Argentina,2024-01-18,16.296083662463424,47.65341467754411,26.121674589144856,5.009192793950505,1.1654523009914028,11.723155592970992,23.572481515144425,41,15500000
