City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Population
Buenos Aires,Argentina,2024-01-01,26.7778485382896,42.126415533678355,23.330910840732383,8.348898804807337,0.8695330492814852,15.392473019880885,23.04260024955904,69,15500000
Buenos Aires,Argentina,2024-01-02,23.406645753041964,27.640967695420006,24.24712438840651,11.099624191571852,0.8001365637914966,23.910650007657296,21.045503091662233,46,15500000
Buenos Aires,Argentina,2024-01-03,16.93253619790511,14.609775767335947,34.47760377929138,7.375077568827924,1.0008753269526265,16.49731585995231,28.800591881281804,59,15500000
Buenos Aires,Argentina,2024-01-04,35.54412112219411,25.212942869982598,27.726759216569622,9.389525723753875,0.9789294375147746,13.135702742594681,26.757399501761007,45,15500000
Buenos Aires,Argentina,2024-01-05,15.057232883110457,34.37553883078311,24.824438630003083,4.9668782419753015,0.5511649774644336,28.3215619386227,25.05321121616325,55,15500000
Buenos Aires,Argentina,2024-01-06,22.75769793395252,46.97203196247966,33.568247642017006,5.744034827034724,1.0102367560299814,17.249311442609653,27.04424509499371,58,15500000
Buenos Aires,Argentina,2024-01-07,23.762673199002435,46.86708414888677,26.024543799056175,6.634862051240917,0.6020084414895972,19.82496194996882,20.944995681855776,58,15500000
Buenos Aires,Argentina,2024-01-08,13.859535498380067,34.339868845782846,35.7382686492702,5.870036177935848,0.8846424748914036,21.657426310108793,25.708829294805398,68,15500000
Buenos Aires,Argentina,2024-01-09,21.056727007648252,37.7221995741026,20.88246635962234,8.43654881394892,0.6396589914702056,14.700249605076417,24.928227667179257,60,15500000
Buenos Aires,Argentina,2024-01-10,23.698773703101132,23.588270609979887,36.04720973277082,8.89472479891993,0.6591349619582938,16.1991347244239,25.88958403504936,43,15500000
Buenos Aires,Argentina,2024-01-11,39.74046600146101,59.97382048731549,36.35396472800774,6.1482768271968045,0.9078288235900301,24.891849688848858,18.884015491394283,76,15500000
Buenos Aires,Argentina,2024-01-12,41.94511761698497,77.27784875018338,32.11820248782384,9.55078147599803,0.7696571132845542,22.666796223527246,29.197342522592024,74,15500000
Buenos Aires,Argentina,2024-01-13,29.73050928233213,54.059909377313154,22.173422339264455,9.813561711576078,0.872283104754396,23.04114447653656,23.895288692476196,53,15500000
Buenos Aires,Argentina,2024-01-14,15.718573617209495,32.28875420929211,28.333286767475556,8.819242262838012,0.7246179351180303,23.795451976941983,19.809557480918567,52,15500000
Buenos Aires,Argentina,2024-01-15,34.965246338965805,29.0550306426831,21.819317197823267,6.394077246251398,0.8047790193972599,18.67914495042333,24.695410836146085,53,15500000
Buenos Aires,Argentina,2024-01-16,27.21477697675916,44.2151387542271,12.93923499076131,9.025274819288143,0.768369231125536,36.215464847973664,36.539581253080556,77,15500000
Buenos Aires,Argentina,2024-01-17,23.48974046152947,30.414244043724537,9.046058184664862,4.205862159379073,0.8177828651626158,25.45945657077055,12.863983711608675,61,15500000
Buenos Aires,Argentina,2024-01-18,16.296083662463424,47.65341467754411,26.121674589144856,5.009192793950505,1.1654523009914028,11.723155592970992,23.572481515144425,41,15500000
Buenos Aires,Argentina,2024-01-19,27.023268148841414,48.1313488720056,23.283037813959613,9.195544041943267,0.7053075753648902,23.403828743277835,21.01530369771488,41,15500000
Buenos Aires,Argentina,2024-01-20,51.481439857534866,47.18228122319613,35.43660548128513,7.298838947018393,0.7423215599399402,19.400293631867637,28.702035611886185,63,15500000
Buenos Aires,Argentina,2024-01-21,14.351415952700478,28.086745020783496,31.02033915496408,6.55365765705316,0.6048858868154103,23.876571052598234,26.415224100682398,55,15500000
Buenos Aires,Argentina,2024-01-22,26.689289913708542,51.440043256578285,23.481683120236415,8.575802803455318,0.5149673607875471,19.531599690308177,20.895544302471645,76,15500000
Buenos Aires,Argentina,2024-01-23,34.607021407191944,48.5306352405351,32.491740506088426,7.8606968838095055,0.7810186861458139,20.173879843967203,22.259430258871376,46,15500000
Buenos Aires,Argentina,2024-01-24,25.41457121134089,44.83123466150478,29.911263968411184,5.3739712554797405,0.9646559831355411,21.12880761555877,25.088066259668288,68,15500000
Buenos Aires,Argentina,2024-01-25,15.246339727217501,59.55261897902139,35.31762196266488,5.894158325265396,1.0003649707363875,17.512145808073964,21.089982537444815,46,15500000
Buenos Aires,Argentina,2024-01-26,17.402968825197128,43.530823908220185,19.39364982916602,5.681986483535333,0.46710465293335557,24.600057300026982,23.49318439779907,59,15500000
Buenos Aires,Argentina,2024-01-27,31.126291196871993,51.91656861998291,39.80206989671212,7.26697349088533,1.0537242049206417,15.121127463045228,29.544799146140654,61,15500000
Buenos Aires,Argentina,2024-01-28,29.593904163278538,25.243091234637667,37.92638470681766,6.815317274016295,0.5418422267698815,16.815702065356962,27.09830122406033,79,15500000
Buenos Aires,Argentina,2024-01-29,21.779868227921636,36.385102092172055,30.073811473154617,9.51776674657906,0.8107045595798091,21.214686772128537,30.277684868247096,43,15500000
Buenos Aires,Argentina,2024-01-30,25.10344015835762,34.92130028891568,42.639520863547574,10.28404843008989,0.9507248570543969,18.82436833725444,18.192638319336353,51,15500000
Buenos Aires,Argentina,2024-01-31,31.549755842216896,52.16197968387565,22.049098601321173,7.840383085789983,0.6287003525181603,20.48835188374168,18.67750796522517,62,15500000
Buenos Aires,Argentina,2024-02-01,7.068935474654232,53.52326884862147,38.481181641621276,7.067450783524254,1.1766164506139467,20.15983279635064,31.461666070840828,77,15500000
Buenos Aires,Argentina,2024-02-02,38.147798255965036,31.517330676735305,39.57749187697942,4.047865816456556,0.7239185485178308,18.34510913193197,26.39495897374237,57,15500000
Buenos Aires,Argentina,2024-02-03,33.61816803218824,68.34992345980773,35.45708773396465,7.375863304542298,0.9344602395173298,22.68680140724613,29.62205093637497,60,15500000
Buenos Aires,Argentina,2024-02-04,15.319542414897548,35.34538441922645,25.085414847229643,5.58042201553293,0.9957779117113559,13.141284353682472,33.04390427867187,54,15500000
Buenos Aires,Argentina,2024-02-05,33.28229690184623,52.02271478315514,37.818522408411745,6.740937184555132,0.5229485820985396,8.509442064351273,22.40659708932141,46,15500000
Buenos Aires,Argentina,2024-02-06,11.848322575718091,34.29852154734516,24.228669202032908,6.704386992905764,1.0225740281536995,21.192404056819655,20.803397991102706,77,15500000
Buenos Aires,Argentina,2024-02-07,38.54441072784276,43.2234363075733,18.7436622916606,7.429615045754033,0.5137962703841209,22.828584897764348,22.824181686859003,71,15500000
Buenos Aires,Argentina,2024-02-08,14.387064682885182,39.318025358064936,33.783336676203966,6.573055728001163,0.9325451653038535,15.964300085103318,30.0169138210997,63,15500000
Buenos Aires,Argentina,2024-02-09,26.21814705774858,26.08653470706312,38.55423566057953,4.418564960423176,0.8858700470844945,20.00355060782982,24.122755851352448,48,15500000
Buenos Aires,Argentina,2024-02-10,24.91431711989234,10.16441039273477,33.266435707342694,6.378883818642836,0.7946617569678963,15.632157330547209,19.530428848938822,57,15500000
Buenos Aires,Argentina,2024-02-11,33.78882334075645,33.47837605399597,33.699722446421205,7.211724796096106,0.9649334668821123,16.986640577206682,16.25005725588167,42,15500000
Buenos Aires,Argentina,2024-02-12,36.5112940595819,36.714522784712834,39.549158924585825,5.889383889227906,0.8319295538815806,22.857041938593902,28.923907920070945,40,15500000
Buenos Aires,Argentina,2024-02-13,31.2152184861589,38.13359015340372,25.44778110179845,5.891324065373338,1.187997678295267,16.290082859540277,31.458176133802233,55,15500000
Buenos Aires,Argentina,2024-02-14,46.024366769818386,36.15685641790023,27.27266635126452,6.505344533844355,0.719842071004102,32.62198268911611,24.61818400339683,42,15500000
Buenos Aires,Argentina,2024-02-15,21.977035674613106,38.68847006834228,34.38655702043599,8.899189142728977,0.7881169637455012,29.277516573971315,26.12117372267646,63,15500000
Buenos Aires,Argentina,2024-02-16,36.4280963877756,58.575442487651664,7.991893147314922,7.847346397499126,0.5234130099366439,14.095482742145972,19.965133640990427,41,15500000
Buenos Aires,Argentina,2024-02-17,21.872841999826235,47.10901148817026,24.234991539273857,10.037436705433588,0.9316785023844981,10.697760000378466,29.321218073671133,45,15500000
Buenos Aires,Argentina,2024-02-18,11.714203422760134,39.82982215337079,17.475004348884383,9.051835971438557,0.848469455672945,13.269319820220286,18.236357310978534,76,15500000
Buenos Aires,Argentina,2024-02-19,28.874318715842602,48.064448544248194,33.425489982484606,6.44001339625104,0.5441938527560428,22.576471608122336,20.828590949826875,76,15500000
Buenos Aires,Argentina,2024-02-20,26.552998414824394,12.484130405791255,35.4494852009929,8.00403854199373,0.8820859506389005,20.97837031615489,20.60606555833946,53,15500000
